ticker,theme_id,theme_name,ai_subtheme,source,source_package_task_id,source_doc_type,source_date,effective_date,source_quality,exact_membership_available,higher_quality_dated_membership_available,accepted_for_diagnostic,accepted_for_formal,human_review_required,formal_exact,future_data_violation_count,blocked_reason
2421,cooling_thermal,thermal / cooling,cooling,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2426,semiconductor,semiconductor,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2449,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_2449_20250527F04_20260704_113733.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-27,2025-05-27,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
2486,cooling_thermal,thermal / cooling,cooling,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3017,ai_supply_chain,AI / AI demand,other,https://doc.twse.com.tw/pdf/2024_3017_20250606F04_20260704_113748.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-06-06,2025-06-06,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3031,pcb_ccl,PCB / printed circuit board,component,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3035,semiconductor_materials,wafer,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3037,ai_supply_chain,AI / AIoT / AI demand,other,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3044,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_3044_20250529F04_20260704_113802.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-29,2025-05-29,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3189,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_3189_20250528F04_20260704_113810.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-28,2025-05-28,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3231,ai_supply_chain,AI / AIoT / AI demand,other,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3324,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_3324_20250516F04_20260704_113831.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-16,2025-05-16,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3443,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_3443_20250515F04_20260704_113851.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-15,2025-05-15,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3533,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_3533_20250613F04_20260704_113858.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-06-13,2025-06-13,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3583,semicap_materials,semiconductor equipment|semiconductor process equipment/materials,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3665,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_3665_20250529F04_20260704_113909.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-29,2025-05-29,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
3712,optical_communication,optical communication,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
4927,pcb_ccl,PCB / printed circuit board,component,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6191,pcb_ccl,PCB / printed circuit board,component,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6213,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_6213_20250526F04_20260704_113925.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-26,2025-05-26,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6285,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_6285_20250516F04_20260704_113934.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-16,2025-05-16,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6412,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_6412_20250526F04_20260704_113946.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-26,2025-05-26,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6438,ic_substrate,IC substrate,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6442,ai_supply_chain,AI / AI demand,other,https://doc.twse.com.tw/pdf/2024_6442_20250528F04_20260704_114006.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-28,2025-05-28,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
6488,ai_server_hardware,server hardware,server,no_dated_company_document_matched,none,,,,proxy_from_core_membership_ledger,False,False,True,False,True,False,0,formal taxonomy policy and human review are still required
6669,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_6669_20250529F04_20260704_114032.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-29,2025-05-29,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
7769,semiconductor,semiconductor,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
8028,semiconductor,semiconductor,IC design,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-MAINLINE-EVIDENCE-LEDGER-20260704,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
8046,ai_server_hardware,server hardware,server,https://doc.twse.com.tw/pdf/2024_8046_20250527F04_20260704_114044.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-27,2025-05-27,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
8210,ai_server_hardware,AI server,server,https://doc.twse.com.tw/pdf/2024_8210_20250529F04_20260704_114058.pdf,TASK-RADAR-DATA-DYNAMIC-POOL1-MOPS-DOCUMENT-EXTRACTION-V1-20260704,MOPS annual report PDF,2025-05-29,2025-05-29,higher_quality_dated_document_diagnostic,False,True,True,False,True,False,0,formal taxonomy policy and human review are still required
8299,ai_server_hardware,server hardware,server,no_dated_company_document_matched,none,,,,proxy_from_core_membership_ledger,False,False,True,False,True,False,0,formal taxonomy policy and human review are still required
