ticker,company_name,market,evidence_type,evidence_category,keyword_or_topic,ai_supply_chain_layer,mainline_theme_label,source_doc_type,source_doc_date,source_url,source_url_or_file,source_title,source_excerpt,source_date,effective_date,as_of_date,extraction_method,confidence_level,accepted_for_diagnostic,accepted_for_formal,formal_exact,human_review_required,notes
3037.TW,欣興,TWSE,official_dated_disclosure_keyword_evidence,pool1b_pcb_substrate,AI,ai_supply_chain,AI / AIoT / AI demand,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,風險管理 / key materials,營運中斷衝擊。輔以定期演練與檢討，持續精進運作成效。 欣興電子針對可能影響營運持續之高風險因子（例如AI需求帶動產能吃緊、供應來源集中致單一供應商依賴風險、以及特定地區政策或地緣情勢變動等），透過替代供應商導入、第二產地認證計畫及備庫計畫等多元策略分散供應風險；並就潛在供應鏈中斷情境，建置緊急應變、事件管理、營運持續與復原計畫，以降低對生產與交付之衝擊，強化供應鏈韌性。(詳見本公司114年ESG報告書2.4.2供應鏈風險管理),2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
3231.TW,緯創,TWSE,official_dated_disclosure_keyword_evidence,old_ai_server,AI,ai_supply_chain,AI / AIoT / AI demand,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,風險管理 / key materials,現行使用於緯創產品的冶煉/精煉廠清單， 並透過緯創 SQP ( Supplier questionnaire platform ) 供應商問卷平台，系統化執行盤查、資料蒐集與稽核；並要求供應商揭露供應來源及簽署「不使用衝突礦產宣告書」聲明。2025年第一階供應商407家已達成不使用衝突礦產宣告書簽署率100%,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
3583.TW,辛耘,TWSE,official_dated_disclosure_keyword_evidence,pool1b_semicap_materials,半導體製程,semicap_materials,semiconductor process equipment/materials,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,1150704 114 3583 辛耘 773.896 1 磊晶矽晶圓=253.2157公噸 半導體製程用之週邊設備=520.68公噸,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
3583.TW,辛耘,TWSE,official_dated_disclosure_keyword_evidence,pool1b_semicap_materials,半導體設備,semicap_materials,semiconductor equipment,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,風險管理 / key materials,ernance/RiskManagement 辛耘公司目前由審計委員會負責督導本公司之風險管理，作為半導體設備研發與製造的領先者，我們深知技術領先與穩定供應是我們的核心競爭力。面對全球半導體產業的劇烈波動與技術競逐，我們針對營運持續、智慧財產及資訊安全，建構了嚴密的風險防護網。本公司風險管理政策與程序，業於2020.12.11經董事會通過。 https://www.scientech.com.tw/zh-hant/Investor/Governance/R,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
3712.TW,永崴投控,TWSE,official_dated_disclosure_keyword_evidence,optical_communication,光通訊,optical_communication,optical communication,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 3712 永崴投控 N/A N/A 1.光學及光通訊元件/29,270(仟台) 2.系統及週邊商品 /1,691(仟台) 3.能源服務管理/265,686(仟度) 4.其他 /257(仟台)",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
4927.TW,泰鼎-KY,TWSE,official_dated_disclosure_keyword_evidence,pcb,PCB,pcb_ccl,PCB / printed circuit board,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 4927 泰鼎-KY N/A N/A 本公司主要產品為印刷電路板（PCB），產品類別包括單面板、雙面板及多層板。2025年度產品總產量為5,472,758平方公尺。各產品類別產量方面，單面板產量為504,464平方公尺；雙面板產量為1,468,296平方公尺；多層板產量為3,499,998平方公尺。",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
6191.TW,精成科,TWSE,official_dated_disclosure_keyword_evidence,pcb_ems,PCB,pcb_ccl,PCB / printed circuit board,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 6191 精成科 N/A N/A PCB 4,131萬呎/EMS 70,105仟片",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
6438.TW,迅得,TWSE,official_dated_disclosure_keyword_evidence,semicap_substrate,載板,ic_substrate,IC substrate,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,1150704 114 6438 迅得 0.000 3 半導體載板-印刷電路板自動化設備:760台 半導體封測-液晶面板自動化設備:3台 半導體晶圓-半導體自動化設備:533台,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,medium,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
7769.TW,鴻勁,TWSE,official_dated_disclosure_keyword_evidence,semiconductor_testing,半導體,semiconductor,semiconductor,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 7769 鴻勁 N/A N/A 半導體測試及其他設備：2,374 (千 PCS) 治具及各類模組：11,721 (千 PCS) 其他：1,853 (千 PCS)",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
8028.TW,昇陽半導體,TWSE,official_dated_disclosure_keyword_evidence,semiconductor_materials,半導體,semiconductor,semiconductor,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,產品品質與安全 / product category,"1150704 114 8028 昇陽半導體 N/A 2 114年度半導體晶圓代工服務 9,902仟片",2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
8028.TW,昇陽半導體,TWSE,official_dated_disclosure_keyword_evidence,semiconductor_materials,半導體,semiconductor,semiconductor,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,風險管理 / key materials,1150704 114 8028 昇陽半導體 本公司已建置完善之供應鏈管理機制，並以永續發展為核心願景，導入多元供應來源策略，以提升供應穩定性與韌性。 同時，將品質管理、環境保護及企業社會責任（CSR）等指標納入供應商風險評估體系，透過定期季度評核、實地稽核及持續改善機制，強化供應鏈整體風險控管能力，確保符合昇陽半導體永續供應鏈發展之需求。 本公司已建置完善之供應鏈管理機制，並以永續發展為核心願,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
8028.TW,昇陽半導體,TWSE,official_dated_disclosure_keyword_evidence,semiconductor_materials,半導體,semiconductor,semiconductor,TWSE OpenAPI ESG disclosure aggregation - supply chain management,2026-07-04,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_13,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_13,供應鏈管理,1150704 114 8028 昇陽半導體 0.00% 11 25.00%,2026-07-04,2025-12-31,2025-12-31,programmatic_keyword_filter_from_official_dated_openapi_raw,low,true,false,false,true,Programmatic v0 evidence from dated official disclosure aggregation; diagnostic-only until Research/Core validates taxonomy policy.
