ticker,company_name,candidate_ai_subtheme,theme_label,source,source_doc_type,source_date,effective_date,evidence_category,keyword_or_topic,current_confidence_level,review_required,review_decision_allowed_values,reviewed_ai_subtheme_allowed_values,accepted_for_formal_before_review,accepted_for_higher_quality_rerun_before_review,future_data_violation_count
3443,創意,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_3443_20250515F04_20260704_113851.pdf,MOPS annual report PDF,2025-05-15,2025-05-15,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3533,嘉澤,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_3533_20250613F04_20260704_113858.pdf,MOPS annual report PDF,2025-06-13,2025-06-13,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3665,貿聯-KY,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_3665_20250529F04_20260704_113909.pdf,MOPS annual report PDF,2025-05-29,2025-05-29,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6213,聯茂,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_6213_20250526F04_20260704_113925.pdf,MOPS annual report PDF,2025-05-26,2025-05-26,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6285,啟碁,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_6285_20250516F04_20260704_113934.pdf,MOPS annual report PDF,2025-05-16,2025-05-16,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6412,群電,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_6412_20250526F04_20260704_113946.pdf,MOPS annual report PDF,2025-05-26,2025-05-26,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6442,光聖,ai_supply_chain,AI / AI demand,https://doc.twse.com.tw/pdf/2024_6442_20250528F04_20260704_114006.pdf,MOPS annual report PDF,2025-05-28,2025-05-28,mops_annual_report_pdf_text_keyword_evidence,AI,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6488O,環球晶,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_6488_20250526F04_20260704_114020.pdf,MOPS annual report PDF,2025-05-26,2025-05-26,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6669,緯穎,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_6669_20250529F04_20260704_114032.pdf,MOPS annual report PDF,2025-05-29,2025-05-29,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
8046,南電,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_8046_20250527F04_20260704_114044.pdf,MOPS annual report PDF,2025-05-27,2025-05-27,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
8210,勤誠,ai_server_hardware,AI server,https://doc.twse.com.tw/pdf/2024_8210_20250529F04_20260704_114058.pdf,MOPS annual report PDF,2025-05-29,2025-05-29,mops_annual_report_pdf_text_keyword_evidence,AI伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
8299O,群聯,ai_server_hardware,server hardware,https://doc.twse.com.tw/pdf/2024_8299_20250527F04_20260704_114119.pdf,MOPS annual report PDF,2025-05-27,2025-05-27,mops_annual_report_pdf_text_keyword_evidence,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2241,艾姆勒,cooling_thermal,thermal / cooling,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,cooling_power,散熱,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2328,廣宇,pcb_ccl,PCB / printed circuit board,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,pcb_connector,PCB,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2338,光罩,semiconductor,semiconductor,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,semiconductor_materials,半導體,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2357,華碩,ai_supply_chain,AI / AIoT / AI demand,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,old_ai_server,AI,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2376,技嘉,ai_server_hardware,AI server / server hardware,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,old_ai_server,伺服器,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2421,建準,cooling_thermal,thermal / cooling,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,cooling,散熱,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2426,鼎元,semiconductor,semiconductor,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,compound_semiconductor,半導體,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
2486,一詮,cooling_thermal,thermal / cooling,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,cooling_components,散熱,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3031,佰鴻,pcb_ccl,PCB / printed circuit board,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,pcb_led,PCB,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3035,智原,semiconductor_materials,wafer,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,pool1b_ic_design,晶圓,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3037,欣興,ai_supply_chain,AI / AIoT / AI demand,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,2025-12-31,pool1b_pcb_substrate,AI,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3231,緯創,ai_supply_chain,AI / AIoT / AI demand,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,2025-12-31,old_ai_server,AI,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3583,辛耘,semicap_materials,semiconductor process equipment/materials,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,pool1b_semicap_materials,半導體製程,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3583,辛耘,semicap_materials,semiconductor equipment,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,2025-12-31,pool1b_semicap_materials,半導體設備,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
3712,永崴投控,optical_communication,optical communication,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,optical_communication,光通訊,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
4927,泰鼎-KY,pcb_ccl,PCB / printed circuit board,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,pcb,PCB,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6191,精成科,pcb_ccl,PCB / printed circuit board,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,pcb_ems,PCB,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
6438,迅得,ic_substrate,IC substrate,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,semicap_substrate,載板,medium,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
7769,鴻勁,semiconductor,semiconductor,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,semiconductor_testing,半導體,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
8028,昇陽半導體,semiconductor,semiconductor,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_14,TWSE OpenAPI ESG disclosure aggregation - product quality / product category,2026-07-04,2025-12-31,semiconductor_materials,半導體,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
8028,昇陽半導體,semiconductor,semiconductor,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_19,TWSE OpenAPI ESG disclosure aggregation - risk management / key materials,2026-07-04,2025-12-31,semiconductor_materials,半導體,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
8028,昇陽半導體,semiconductor,semiconductor,https://openapi.twse.com.tw/v1/opendata/t187ap46_L_13,TWSE OpenAPI ESG disclosure aggregation - supply chain management,2026-07-04,2025-12-31,semiconductor_materials,半導體,low,True,accept_ai_member;reject_ai_member;accept_non_ai;needs_more_source,ai_server_hardware;cooling_thermal;pcb_ccl;semiconductor;semiconductor_materials;ai_supply_chain;other;not_ai,False,False,0
